ndcg,recall,user_coverage,item_gini,publisher_gini,item_coverage,intra_list_similarity,novelty,lambda
0.22918033858581732,0.4145,1.0,0.8084206400742114,,0.09227871939736347,,,50
0.23258166390460924,0.423,1.0,0.808015060851927,,0.08440335558979627,,,100
0.23339206392882228,0.42425,1.0,0.8063157002188184,,0.07824002739256977,,,150
0.23294945994711735,0.423,1.0,0.8044418997668997,,0.07344632768361582,,,200
0.23267208917020002,0.42125,1.0,0.8039017726161368,,0.07002225646293443,,,250
0.23085379409360848,0.42075,1.0,0.8017399742930591,,0.06659818524225304,,,300
0.22898864176389083,0.417,1.0,0.7975056722689076,,0.06111967128916281,,,400
0.22692086717752402,0.41325,1.0,0.7989611842105263,,0.05855161787365177,,,500
0.22316625429432232,0.40675,1.0,0.7896259136212624,,0.05153227187125492,,,700
0.21997630595700166,0.40325,1.0,0.7865408035714285,,0.04793699708953946,,,900
0.21891897594939153,0.4005,1.0,0.7810868421052632,,0.045540147235062486,,,1000
