ndcg,recall,user_coverage,item_gini,publisher_gini,item_coverage,intra_list_similarity,novelty,ease_lambda_reg,novelty_lambda
0.23085379409360848,0.42075,1.0,0.8017399742930591,0.799251428512455,0.06659818524225304,0.45574853,0.55890197,300,0.0
0.2281627322128022,0.41625,1.0,0.7974613031914894,0.7960628626882742,0.06437253894881013,0.4127853,0.59146297,300,0.05
0.22035317105838856,0.4045,1.0,0.7980231530343008,0.7939215757123703,0.06488614963191235,0.37443072,0.6234543,300,0.1
0.20570838350419163,0.38075,1.0,0.7915129380053908,0.7874776490291465,0.06351652114363979,0.31320563,0.67531776,300,0.2
0.19013019201481643,0.35275,1.0,0.7814356232294617,0.7842959632057142,0.06043485704502654,0.26667294,0.7161552,300,0.3
0.16180878386172493,0.308,1.0,0.7858964689265537,0.7885570368990886,0.06060606060606061,0.22371688,0.76629174,300,0.5
0.13857706220816599,0.2775,1.0,0.7903831005586592,0.7960976015266955,0.06129087485019689,0.21356405,0.7915194,300,0.7
0.11325607412921831,0.2365,1.0,0.7944814890710382,0.7971704439213524,0.06266050333846944,0.2122453,0.81058395,300,1.0
0.08944399791628607,0.2045,1.0,0.807856015037594,0.8061992899219711,0.06831022085259374,0.21652155,0.823919,300,1.5
0.07765753900939217,0.18,1.0,0.8097890853658537,0.8072230026133009,0.07019346002396849,0.22023328,0.82930624,300,2.0
